课程名,课程编号,课序号,学分,任课教师,上课地点,上课日期,上课时间,课程介绍,起始周,结束周,开课院系
微积分A(1),$10421055$,8,5,晏平,三教2302,$3$,$3-3$,test,1,16,数学系
微积分A(1),$10421055$,8,5,晏平,三教2302,$5$,$5-2$,test,1,16,数学系
线性代数,$10421324$,10,4,郭晓玲,六教6C201,$2$,$2-1$,test,1,16,数学系
线性代数,$10421324$,10,4,郭晓玲,六教6C201,$5$,$5-3$,test,1,16,数学系
离散数学(1),$25100013$,0,3,贺飞,三教2301,$2$,$2-3$,test,1,16,软件学院
离散数学(1),$25100013$,0,3,贺飞,三教2301,$2$,$2-4$,test,1,16,软件学院
程序设计基础,$34100063$,0,3,刘玉身,六教6A017,$3$,$3-2$,test,1,16,软件学院
思想道德与法治,$10680053$,0,3,张瑜,五教5202,$1$,$1-3$,test,1,16,马克思主义学院
体育(1),$10720011$,9,1,王俊林,西大操场,$2$,$2-2$,test,1,16,体育部
创意软件,$14100042$,90,2,刘璘,I'm here.,$2$,$2-6$,test,1,8,软件学院
创意软件,$14100042$,90,2,刘璘,I'm here.,$4$,$4-6$,test,1,8,软件学院
系统思维与系统工程探究,$04790012$,90,2,王琛,舜德/经管西楼401,$1$,$1-2$,test,1,8,笃实书院
形势与政策,$10680101$,90,1,刘钰潭,六教6C300,$3$,$3-6$,test,1,8,马克思主义学院
英语听说交流A,$14201092$,90,2,吴炜,六教6B204,$4$,$4-1$,test,1,8,语言教学中心
