课程名,课程编号,课序号,学分,任课教师,上课地点,上课日期,上课时间,课程介绍,起始周,结束周,开课院系
算法设计及其复杂性分析,$04100012$,90,2,雍俊海,???,Tuesday,$2-3$,"本课程目的是落实“学中练，练中学；练中闯，练中创”的指导思想，使学生初步熟悉《算法设计及其复杂性分析》富有挑战的科研方法，经历其过程，要求学生一边自学算法设计及其复杂性分析理论与技术，一边利用现学到的理论与技术对特定的国家“卡脖子”技术基础问题进行攻关，经历啃硬骨头攻关硬核问题的过程，逐步提升在重重困难下的抗压能力、自主研究能力以及分析问题、研究问题、算法设计以及算法分析与验证的能力。这些攻关问题又偏又难又繁琐，工作量也很大。本课程以自学与自主攻关为主，主要依靠学生自学，由学生自己去寻找求解答案，教师只是起到引导的作用。在课堂上，同学之间进行专题研讨，沟通与交流。同学可以自由组成学习研讨小组，尝试展开相关问题的研究工作。最终学生提交问题求解报告以及一些中间过程报告，教师根据问题的解决程度以及求解过程中提出思想的创新性等评定成绩。选课指导：本课程富有挑战性，需要较大的勇气以及强烈的求知欲望和上进心。请想混学分或担心学习力不从心的同学不要选这门课。据往届同学反映，本课程作业量大，富有挑战性，需要付出很大的努力，最终收获也很大。",1,8,软件学院
大数据技术导论,$04100041$,90,1,王建民,???,Thursday,$4-6$,"近年来，“大数据”作为一个新的名词在众多领域得到关注，包括科学、工程、医疗、卫生、经济、商业，乃至整个社会。除了直观理解的“规模大”（Volume）特征以外，大数据还具有“高吞吐率”（Velocity），“多样性”（Variety），“价值稀疏”（Value）等多个V特征。本课程侧重引导学生对大数据管理与应用的学习兴趣和路线。从当前行业现状出发，利用一些真实案例，向学生介绍行业中大数据存在的真实情况，引出一系列大数据所带来的价值与挑战，使得学生对相关背景和存在问题建立初步轮廓。通过介绍大数据相关技术，让学生对大数据管理技术有一个大致了解，从而引导学生对后续相关课程的选则。此外，本课程还将介绍知名大学在大数据研究方面的最新进展，以及潜在的研究方向，激发同学进一步学习研究的热情。",1,8,软件学院
互联网科技创新及其工业应用,$14100012$,90,2,李振华,???,Monday,$1-6$,"互联网深刻影响了当今人类生活的各个层面，其规模巨大、发展迅速，科技创新层出不穷。然而，从互联网科技创新的理论算法技术或系统原型成果，发展到大规模应用部署的工业转化，往往可能经历曲折漫长的过程，甚至永远停留在实验室阶段，这对高校学生群体来说尤为突出。因此，如何理解、评估、控制、改进互联网科技创新成为重要的研究课题和实践内容，在计算机、经济管理、政策法律、职业规划、创业投资等领域受到广泛关注。 本课程侧重讲解互联网科技创新的知识结构及宏观架构，兼顾工程项目管理及政策法规说明，涵盖科技创新成果具体化、生活化、产业化的实用技能，特别是任课教师在多年科研实践中将十余项互联网创新技术快速、坚实、大规模应用到百度、腾讯、小米等国内知名企业的具体案例。课程内容覆盖异构工业环境和多元应用场景，具备很强的参考性。",1,16,软件学院
创意软件,$14100042$,90,2,刘璘,???,Tuesday,$2-6$,"软件作为人类文明的新基因，人类的想象力有多丰富，软件的创作内容就有多广泛。在大模型智能时代，软件的创新与社会经济文化的创新交互融合。互联网上的软件作为各类信息服务的载体，其开发方式、运行形态和服务模式等方面都发生着显著的变化，最主要特征就是通过人和互联网这个生态环境下的软件主体交互协同来更好地满足人类的各方面需求。随着大模型智能技术的应用，在线平台及线上协同工作环境为人类提供的辅助越来越强。本门课程旨在提升学生作为未来设计师的眼界与品位、对软件技术的理解的深度、评价技术可行性和评判系统设计的好坏。",1,8,软件学院
离散数学(1),$24100023$,0,3,刘世霞,???,Friday,$5-2$,"本课程是软件学院的基础数学课程，以离散量为研究对象，即面向计算机科学的应用，同时欲揭示相关理论的内在联系。本课程主要包括以下内容：（1）数理逻辑部分：包括命题及其符号化、命题公式及其真值、命题逻辑等值演算、命题逻辑的推理理论、谓词的概念及其符号化、谓词等值演算，范式以及谓词的推理理论等内容。（2）集合论：包括集合的概念、运算；关系及其表示，关系的性质，等价关系与等价类、相容关系、偏序关系以及格与布尔代数；函数的概念，反函数和复合函数，模糊子集等内容；实数集合与集合的基数、康托定理以及连续统假设等。课程思政方面，本课堂旨在教授学生知识、培养学生能力的同时，注重科学思维方法的训练和科学伦理的教育，培养学生探索未知、勇攀科学高峰的责任感和使命感, 求真务实、追求真理的价值观。",1,16,软件学院
程序设计基础,$34100063$,0,3,刘玉身,???,Tuesday,$2-2$,"通过课堂讲授和上机实践相结合的方式，使学生理解程序设计的基本思路和常用编程思想，掌握编写程序解决实际问题的一般方法，并为将来学习专业领域的其他编程语言打下基础。 课程由简单的计算程序入手，通过不同的问题引出解决问题所需的程序设计思想和方法，依次讲授程序设计中的代数思维、逻辑思维、模块化思维，枚举法、递推法、动态规划及优先搜索算法等，由浅入深。 上机实践过程中，通过分组编程、配对调试等形式，引导学生逐渐形成团队意识，为高年级较大型的课程作业及研究项目打下基础。",1,16,软件学院
程序设计基础,$34100063$,1,3,王继良,???,Tuesday,$2-2$,"通过课堂讲授和上机实践平行课堂相结合的方式，使学生理解程序设计的基本思路和常用编程思想，掌握编写程序解决实际问题的一般方法，并为将来学习专业领域的其他编程语言打下基础。课程由简单的计算程序入手，通过不同的问题引出解决问题所需的程序设计思想和方法，依次讲授程序设计中的代数思维、逻辑思维、模块化思维，枚举法、递推法、动态规划及优先搜索算法等，由浅入深。上机实践过程中，通过分组编程、配对调试等形式，引导学生逐渐形成团队意识，为高年级较大型的课程作业及研究项目打下基础。课程思政方面，本课堂旨在教授学生知识、培养学生能力的同时，引导学生对未来就业的思考，激励学生打好编程基础，用编程来解决实际问题，鼓励学生发散思维、勇于创新和探索。",1,16,软件学院
数据结构,$34100373$,0,3,丁贵广,???,Wednesday,$3-2$,"数据结构是计算机程序设计的重要理论基础，它所讨论的知识内容和提倡的技术方法，无论对进一步学习计算机领域的其它课程，还是对从事软件工程的开发，都有着不可替代的作用。通过本门课程的学习，帮助学生正确理解和掌握数据结构相关的基本概念、基本定理、基本算法及实现方法，了解相关知识在计算机各个领域的重要应用，同时培养学生将实际问题抽象为数学问题并利用相应的数学基本理论分析方法和算法解决问题的能力，使学生学会从问题入手，分析研究计算机处理的数据结构的特性，以便为应用所涉及的数据选择适当的逻辑结构、存储结构及其相应的操作算法，并初步掌握时间和空间分析技术。在理论和实践上都为后续其它计算机专业课程的学习奠定坚实的基础。同时，通过介绍数据结构的发展历史，让同学了解信息领域的核心贡献的科学家分布情况，提高学生为我国信息技术发展贡献力量的民族责任感。",1,16,软件学院
综合论文训练,$44100010$,0,15,王朝坤,???,Sunday,$7-6$,"综合论文训练是本科生按照培养方案达到培养目标的重要环节，也是训练学生解决实际问题的基本能力、培养创新意识和创新能力的综合环节。该环节要求学生在教师指导下综合运用所学知识，完成一项课题研究或相应的综合训练任务，并独立完成一篇论文，作为学生的“学士学位论文”。",1,16,软件学院
计算机网络,$44100113$,0,3,杨铮,???,Wednesday,$3-2$,"介绍计算机网络的概念、原理和体系结构，着重讲述物理层、数据链路层、介质访问子层、网络层、传输层和应用层的基本原理和协议。主要内容包括：计算机网络体系结构的基本概念、原则和典型计算机网络参考模型；数据通信基本原理和技术，通信交换技术；物理层的定义、功能和特性，典型物理层标准接口和传输介质；数据链路层的定义和功能，错误检测和纠正，基本的数据链路层协议。滑动窗口协议，协议说明与验证，常用的数据链路层协议；局域网概述，局域网拓扑结构和传输介质，局域网技术，局域网的IEEE 802系列标准，网桥技术，高速局域网技术；网络层概述，路由算法，拥塞控制算法，网络互连，Internet网络层协议和路由器体系结构；传输服务，传输协议；应用层概述，客户/服务器模型，域名服务，简单网络管理协议SNMP，网络安全，电子邮件，WWW，文件传输协议FTP。",1,16,软件学院
